"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Nebraska,Season 2015-16,266,69,12,4,12,1,3,0
States,Nevada,Season 2015-16,777,96,29,2,26,30,60,0
States,New Hampshire,Season 2015-16,298,117,15,3,0,58,17,0
States,New Jersey,Season 2015-16,922,188,92,2,105,9,8,0
States,New Mexico,Season 2015-16,1954,193,159,8,103,44,62,0
States,New York,Season 2015-16,3210,885,96,30,32,167,91,0
States,North Carolina,Season 2015-16,650,172,28,1,5,26,22,0
States,North Dakota,Season 2015-16,264,145,12,0,0,11,35,0
States,Ohio,Season 2015-16,791,369,50,3,9,45,42,6
States,Oklahoma,Season 2015-16,520,27,10,0,8,3,11,0
States,Oregon,Season 2015-16,653,67,30,3,183,0,4,0
States,Pennsylvania,Season 2015-16,1052,222,52,15,10,62,112,0
States,Rhode Island,Season 2015-16,397,109,19,0,1,5,31,0
States,South Carolina,Season 2015-16,743,101,107,0,1,17,7,0
States,South Dakota,Season 2015-16,869,259,27,3,6,47,41,0
States,Tennessee,Season 2015-16,1782,114,9,0,71,0,0,0
States,Texas,Season 2015-16,1978,125,165,13,87,53,83,0
States,Utah,Season 2015-16,1026,247,79,1,20,31,345,0
States,Vermont,Season 2015-16,237,73,48,0,31,0,1,0
States,Virginia,Season 2015-16,881,263,15,0,78,4,4,0
States,Washington,Season 2015-16,1040,218,126,7,93,52,128,0
States,West Virginia,Season 2015-16,524,163,10,8,96,0,1,0
States,Wisconsin,Season 2015-16,3603,750,41,28,1,68,73,0
States,Wyoming,Season 2015-16,494,104,27,1,2,1,42,0
States,Puerto Rico,Season 2015-16,1001,183,185,4,31,53,142,0
States,Virgin Islands,Season 2015-16,X,X,X,X,X,X,X,X
States,New York City,Season 2015-16,X,X,X,X,X,X,X,X
States,Alabama,Season 2016-17,570,3,227,1,2,15,14,0
States,Alaska,Season 2016-17,5222,14,905,3,252,2,11,0
States,Arizona,Season 2016-17,2975,63,1630,0,5,227,578,0
States,Arkansas,Season 2016-17,121,0,51,0,0,4,0,0
States,California,Season 2016-17,14074,184,4696,120,116,28,152,0
States,Colorado,Season 2016-17,714,3,267,2,4,31,219,0
States,Connecticut,Season 2016-17,1348,19,968,0,0,62,263,0
States,Delaware,Season 2016-17,3090,5,659,4,11,27,127,1
States,District of Columbia,Season 2016-17,73,1,34,0,3,0,4,0
States,Florida,Season 2016-17,X,X,X,X,X,X,X,X
States,Georgia,Season 2016-17,3956,27,1058,8,34,333,167,0
States,Hawaii,Season 2016-17,2442,53,889,14,7,89,189,0
States,Idaho,Season 2016-17,1311,9,983,3,1,16,26,0
States,Illinois,Season 2016-17,3060,6,479,0,3,325,80,0
States,Indiana,Season 2016-17,1255,39,694,0,2,112,122,0
States,Iowa,Season 2016-17,1839,15,822,9,7,79,150,0
States,Kansas,Season 2016-17,330,4,122,13,15,2,10,0
States,Kentucky,Season 2016-17,541,20,250,0,57,3,9,0
States,Louisiana,Season 2016-17,1947,40,602,2,33,37,155,0
States,Maine,Season 2016-17,894,0,268,2,137,8,53,0
States,Maryland,Season 2016-17,5997,57,2068,0,16,94,557,39
States,Massachusetts,Season 2016-17,485,6,312,0,1,0,4,0
States,Michigan,Season 2016-17,962,20,541,0,29,57,145,1
States,Minnesota,Season 2016-17,6521,24,1513,25,2,75,808,0
States,Mississippi,Season 2016-17,355,9,143,0,1,15,20,0
States,Missouri,Season 2016-17,363,3,141,2,0,6,9,0
States,Montana,Season 2016-17,739,36,314,2,4,0,37,0
States,Nebraska,Season 2016-17,280,5,111,2,8,9,12,0
States,Nevada,Season 2016-17,568,13,270,0,5,2,43,0
States,New Hampshire,Season 2016-17,410,2,218,1,1,4,46,0
States,New Jersey,Season 2016-17,668,4,285,1,74,2,3,0
States,New Mexico,Season 2016-17,1818,14,481,1,2,6,58,0
States,New York,Season 2016-17,2581,10,857,17,56,39,164,0
States,North Carolina,Season 2016-17,901,39,285,3,8,28,60,0
States,North Dakota,Season 2016-17,1029,26,351,1,10,37,278,1
States,Ohio,Season 2016-17,1431,13,832,8,31,64,173,15
States,Oklahoma,Season 2016-17,824,27,220,0,18,3,62,0
States,Oregon,Season 2016-17,457,1,246,1,53,0,0,0
States,Pennsylvania,Season 2016-17,1382,4,533,9,8,49,50,1
States,Rhode Island,Season 2016-17,447,3,143,0,0,3,66,0
States,South Carolina,Season 2016-17,1077,10,263,2,22,55,36,0
States,South Dakota,Season 2016-17,1275,22,479,16,16,64,206,0
States,Tennessee,Season 2016-17,2601,24,350,29,135,3,9,0
States,Texas,Season 2016-17,1713,49,397,5,51,35,115,0
States,Utah,Season 2016-17,1358,8,863,0,7,45,128,0
States,Vermont,Season 2016-17,371,3,233,0,51,0,2,0
States,Virginia,Season 2016-17,1662,17,677,1,31,26,138,0
States,Washington,Season 2016-17,1076,18,534,7,19,9,53,0
States,West Virginia,Season 2016-17,729,2,360,0,127,0,1,0
States,Wisconsin,Season 2016-17,4887,31,1011,11,6,86,261,0
States,Wyoming,Season 2016-17,839,2,273,3,12,1,29,0
States,Puerto Rico,Season 2016-17,642,2,411,0,19,52,24,0
States,Virgin Islands,Season 2016-17,X,X,X,X,X,X,X,X
States,New York City,Season 2016-17,X,X,X,X,X,X,X,X
States,Alabama,Season 2017-18,814,131,204,4,7,4,65,0
States,Alaska,Season 2017-18,3349,169,641,1,347,1,5,0
States,Arizona,Season 2017-18,3353,177,2054,0,8,197,720,0
States,Arkansas,Season 2017-18,397,17,101,0,19,0,43,0
States,California,Season 2017-18,15545,660,4663,195,702,281,1287,0
States,Colorado,Season 2017-18,1078,54,501,4,19,2,162,0
States,Connecticut,Season 2017-18,2245,161,887,0,1,47,423,0
States,Delaware,Season 2017-18,2781,161,382,6,24,100,206,0
States,District of Columbia,Season 2017-18,560,56,193,0,0,5,80,0
States,Florida,Season 2017-18,X,X,X,X,X,X,X,X
States,Georgia,Season 2017-18,2044,261,582,2,38,6,254,0
States,Hawaii,Season 2017-18,3254,98,1069,21,8,43,500,0
States,Idaho,Season 2017-18,1272,94,477,4,6,9,435,0
States,Illinois,Season 2017-18,3450,142,722,1,22,1,398,0
States,Indiana,Season 2017-18,1305,126,562,0,11,14,233,1
States,Iowa,Season 2017-18,2506,60,979,8,2,2,480,1
States,Kansas,Season 2017-18,210,23,52,1,21,2,15,0
States,Kentucky,Season 2017-18,1078,103,377,2,14,13,297,0
States,Louisiana,Season 2017-18,1977,135,305,3,60,2,113,0
States,Maine,Season 2017-18,1165,55,315,3,0,33,115,0
States,Maryland,Season 2017-18,6446,581,1887,2,10,131,752,0
States,Massachusetts,Season 2017-18,490,30,156,0,2,0,2,0
States,Michigan,Season 2017-18,1061,93,585,3,58,7,174,0
States,Minnesota,Season 2017-18,7565,169,2828,73,2,52,575,0
States,Mississippi,Season 2017-18,342,78,98,0,2,0,48,0
States,Missouri,Season 2017-18,813,49,205,0,0,7,103,0
States,Montana,Season 2017-18,732,49,294,7,6,30,122,0
States,Nebraska,Season 2017-18,280,9,108,1,9,1,18,1
States,Nevada,Season 2017-18,835,24,314,0,4,1,223,0
States,New Hampshire,Season 2017-18,459,37,176,4,1,8,70,0
States,New Jersey,Season 2017-18,1044,101,294,1,180,20,31,0
States,New Mexico,Season 2017-18,1651,41,447,2,28,0,280,0
States,New York,Season 2017-18,4037,229,1418,21,153,17,384,0
States,North Carolina,Season 2017-18,744,40,157,1,10,25,68,0
States,North Dakota,Season 2017-18,1133,72,619,5,8,32,214,0
States,Ohio,Season 2017-18,2538,188,922,9,127,5,199,0
States,Oklahoma,Season 2017-18,1100,100,213,1,53,4,60,0
States,Oregon,Season 2017-18,866,136,185,1,390,0,4,0
States,Pennsylvania,Season 2017-18,1685,84,493,4,5,39,227,0
States,Rhode Island,Season 2017-18,440,13,136,0,0,1,38,0
States,South Carolina,Season 2017-18,865,55,203,0,15,2,60,0
States,South Dakota,Season 2017-18,1295,40,514,4,12,24,190,0
States,Tennessee,Season 2017-18,2255,2,212,61,157,0,3,0
States,Texas,Season 2017-18,1619,79,260,2,162,2,78,0
States,Utah,Season 2017-18,1332,84,621,1,15,71,249,0
States,Vermont,Season 2017-18,378,22,156,0,58,0,0,0
States,Virginia,Season 2017-18,1823,183,533,0,72,34,226,0
States,Washington,Season 2017-18,905,96,228,6,73,4,132,0
States,West Virginia,Season 2017-18,694,64,276,0,12,37,134,0
States,Wisconsin,Season 2017-18,4853,116,1050,14,0,12,373,0
States,Wyoming,Season 2017-18,739,40,142,1,16,2,105,0
States,Puerto Rico,Season 2017-18,724,33,432,0,4,9,142,0
States,Virgin Islands,Season 2017-18,X,X,X,X,X,X,X,X
States,New York City,Season 2017-18,X,X,X,X,X,X,X,X
